ID,Timesamp,Conen
1223052708401291264,2020-01-31 01:17:43,"RT @PamilaJayapal: Im poud o be a woman of colo, immigan, acivis &amp; pogessive membe of Congessî&amp; Im poud o be all in fo @Be¶"
1223045781562650625,2020-01-31 00:50:12,"Hace cuao a√±os, la gene de Iowa inici√≥ nuesa evoluci√≥n pol√≠ica. Con su ayuda el 3 de feb., podemos comenza a hace ealidad nuesa agenda pogesiva. En vivo ahoa desde Des Moines con @janeosandes y @lascafeeas hps://.co/6gUpOHlb"
1223042264362078208,2020-01-31 00:36:13,"Nohing can be done jus as one. I has o be done as he movemen. And has he oganize in Benie, inside and ouside. 
He won jus be pesiden and commande-in-chief, hell be oganize-in-chief. -Rep. @PamilaJayapal hps://.co/zbkpjXhT66"
1223009452871364609,2020-01-30 22:25:50,"I am poud o sand wih @MindiMessme4NH in he campaign fo New Hampshie's Execuive Council. Togehe, we will build a movemen o ansfom his naion so ha i woks fo all people. hps://.co/U9yi0zffIf"
1222998917312385032,2020-01-30 21:43:58,I sand in solidaiy wih he @HuffPosUnion/@WGAEas. All wokes deseve a fai conac wih good pay and benefis. I uge @HuffPos managemen o coninue o bagain in good faih fo a fai conac. hps://.co/9R0HvYKV2
1222972950497894401,2020-01-30 20:00:47,"Home healh cae wokes ae doing some of he mos impoan wok in his couny. They deseve espec, decen wages, and collecive bagaining poecions. hps://.co/VyGJxAYoDw"
1222961513079681025,2020-01-30 19:15:20,"We need candidaes who champion he people and he issues a evey level, in evey sae. I'm poud o endose @AnduVolinsky fo goveno of New Hampshie and look fowad o he eal change he will bing. hps://.co/J4IgUki3wm"
1222954405902766080,2020-01-30 18:47:06,"In jus fou days he people of Iowa will ake he fis sand agains he divisiveness and bigoy of Donald Tump. Join ou live own hall wih @janeosandes, @NaomiAKlein and @lascafeeas in Ginnell: hps://.co/ODoAUNK5gR"
1222945099694264322,2020-01-30 18:10:07,"In jus fou days he people of Iowa will ake he fis sand agains he divisiveness and bigoy of Donald Tump. Join ou live own hall wih @janeosandes, @NaomiAKlein and @lascafeeas in Ginnell: hps://.co/7DMLD4xaRB"
1222923741371473921,2020-01-30 16:45:15,"Im so honoed o eceive he endosemen of he @APWUnaional. When we defea Donald Tump, we'e no going o pivaize and cu he Posal Sevice. We'e going o expand and senghen he Posal Sevice. hps://.co/7JezqTqyv7"
1222917572951269376,2020-01-30 16:20:44,Donald Tump wans o cu Social Secuiy. We'e no going o le ha happen. We ae going o poec and EXPAND Social Secuiy. hps://.co/ww55p2oWwC
1222721140046647296,2020-01-30 03:20:11,Im honoed o have he suppo of @UFCW21. Togehe wee going o build a movemen o ceae a poliical evoluion and ansfom his couny so i woks fo all of us. hps://.co/1Ob7ffSiY
1222705681460948993,2020-01-30 02:18:45,"Togehe we ae going o bing ou he lages voe unou in hisoy, defea Tump, and ansfom his couny. Join @janeosandes, @NaomiAKlein, @mmflin, @kendick38 and @lascafeeas in Iowa Ciy: hps://.co/uOndTBaKdi"
1222698589643780098,2020-01-30 01:50:35,"When wokes oganize o figh fo fai wages and digniy, we all win. Congaulaions o he membes of @MASHwokes fo hei hisoic vicoy ì and we look fowad o congaulaing hem in peson his July. hps://.co/IYsJIBzow0"
1222684760713179136,2020-01-30 00:55:37,"Tump has been aacking ou campaign because he's geing nevous.
Poll afe poll shows ha we ae he songes campaign o bea him, even in so-called ""ed"" saes like Texas.
Togehe, we'll sweep him and all he sands fo ou of office.
hps://.co/2G0vdzo6Mn"
1222677862362374145,2020-01-30 00:28:13,"Today I'm poud o endose @SDGeogee, who will coninue o be a song advocae fo eal change as a membe of Congess. Please chip in o Geogee's campaign oday: hps://.co/bPZ7aPAsWA hps://.co/XbSdXnHyi"
1222663053378048001,2020-01-29 23:29:22,I sand wih @UNITEHERE_SoFla and call on @AmeicanAi o give hese wokes he compensaion and benefis ha hey deseve. hps://.co/xKCb9TTlO
1222633255364702210,2020-01-29 21:30:58,The big money ineess can un all he negaive ads hey wan. I's no going o wok. Ou gassoos movemen is songe. hps://.co/pjK9pJsH
1222627447981690880,2020-01-29 21:07:53,"Tonigh: join @janeosandes, @NaomiAKlein, @kendick38, and @lascafeeas fo a ally in Iowa Ciy! RSVP hee and find moe infomaion: 
hps://.co/BYVlmDJKN3 hps://.co/6gaLdoJSYu"
1222620819223994371,2020-01-29 20:41:33,"If young people come ou and voe in high numbes, we can fundamenally ansfom his couny."
1222620300673679362,2020-01-29 20:39:29,"RT @JCisneosTX: I'm so gaeful o eceive he endosemen of @BenieSandes, who's unning a gassoos campaign o figh fo woking peo¶"
1222606082973061123,2020-01-29 19:42:59,On day one of my adminisaion we will epeal all of Tumps acis immigaion odes.
1222589065624723462,2020-01-29 18:35:22,"Real change comes fom he boom on up, no he op on down. I'm poud o endose @JCisneosTX fo Congess. Togehe, we will build a movemen o ansfom his naion so ha i woks fo all ou people.
Make a conibuion o Jessica's campaign hee: hps://.co/5v15lJOXAF hps://.co/5x74g9RC7B"
1222570126375096323,2020-01-29 17:20:07,"I am poud o be endosed by @WDAcionFund. Togehe, we will figh fo woking people acoss his couny and build a poweful movemen o achieve jusice fo all. hps://.co/QuJsO0xoG"
1222569174926577664,2020-01-29 17:16:20,RT @SusanSaandon: So unbelievably consisen. hps://.co/wVsMIvcJp
1222569106106470400,2020-01-29 17:16:03,RT @aiannaijones: i akes couage o say he couse. hps://.co/lniOUBUgJi
1222569004897918978,2020-01-29 17:15:39,"RT @fshaki: Seady, consisen convicions ha you can us when he's in he Oval Office hps://.co/dl7Vl16UQq"
1222565612213407748,2020-01-29 17:02:10,"Tumps ade deal is a giveaway o he fossil fuel indusy and a disase fo he climae. As he only leading Democaic candidae o oppose his deal, I pledge o fix i when I am pesiden. hps://.co/yGfc36YSf"
1222556676571701248,2020-01-29 16:26:40,"RT @obdelaney: Please wach. I love he No me, us slogan bu I do so sinceely hope his guy is ou nex pesiden. hps://.co/Fy4AZC¶"
1222552369390637057,2020-01-29 16:09:33,I will neve sop fighing fo he woking people of his couny. hps://.co/1V91xa638J
1222542802522976262,2020-01-29 15:31:32,RT @NaomiAKlein: Today! hps://.co/acdIPADw9
1222542674290450433,2020-01-29 15:31:01,"Aveing he climae cisis and ceaing 20 million jobs.
Ending all foms of envionmenal acism.
Building a govenmen ha woks fo all of us, no jus he 1% and fossil fuel copoaions. hps://.co/NiBl2D9Q1L"
1222532957900017664,2020-01-29 14:52:25,"New Hampshie: join ou Ge Ou he Voe Conce Rally wih @hesokes on Febuay 10h! Togehe, we can win his pimay, defea Tump, and ansfom he couny ino one ha woks fo all.
RSVP hee: hps://.co/k3PWSSyAY hps://.co/BjEQi1SPXe"
1222531669418180608,2020-01-29 14:47:18,"RT @hesokes: #beniebeasump
hps://.co/bhmHGxZJVv hps://.co/RccTvHIYep"
1222522112612671488,2020-01-29 14:09:19,RT @ZephyTeachou: Oh my god I love his ad. This is wha he billionaies and copoae ineess ae scaed of. Compassion. Fainess. De¶
1222351836906213381,2020-01-29 02:52:42,RT @RashidaTlaib: The #peoplepowe movemen will win because we ae speaking uh and have he moal claiy needed o push back agains ¶
1222351668056068096,2020-01-29 02:52:02,"RT @johncusack: @BenieSandes: I's no sece ha we'e aking on he poliical esablishmen and he big money ineess, who ae now ¶"
1222348033347719172,2020-01-29 02:37:35,"Tomoow: join @janeosandes, @NaomiAKlein, @kendick38, and @lascafeeas fo a ally in Iowa Ciy! RSVP hee and find moe infomaion: 
hps://.co/BYVlmDJKN3 hps://.co/MHMjEFYYzU"
1222340490818920449,2020-01-29 02:07:37,"RT @PamilaJayapal: I sand w/he 8,000 @SEIU1199NW healh cae wokes siking fo safe saffing &amp; paien safey a Swedish.
I encouag¶"
1222317263283478529,2020-01-29 00:35:19,RT @fshaki: Bing i! hps://.co/TQbcjF4Ey
1222314390478868480,2020-01-29 00:23:54,"I's no sece ha we'e aking on he poliical esablishmen and he big money ineess, who ae now unning aack ads agains us in Iowa. Bu we have he people, and ou gassoos movemen will pevail. hps://.co/77Zxpvn8RB"
1222304216917647360,2020-01-28 23:43:29,"Medicae fo All means feedom o choose you doco and you hospial î no geing ouageous ""ou of newok"" bills like in ou cuen sysem. hps://.co/5xymfKB7B"
1222289056165482497,2020-01-28 22:43:14,"Joe Biden said no a single scienis suppoed my climae plan. Well, Joe, youe wong. Scieniss agee: we need a Geen New Deal and we need i now: hps://.co/DLhOxVxaPh hps://.co/igEFaJjLg"
1222272957034254337,2020-01-28 21:39:16,"I am honoed o eceive he endosemen of @UNITEHERE11, one of he fases-gowing local unions in he naion î whose membes shae ou pogessive values and undesand he ciical impoance of esoing wokes' ighs and expanding union membeship."
1222263768970747904,2020-01-28 21:02:45,We ae Big Phama's wos nighmae.
1222247691712897026,2020-01-28 19:58:52,"We ae in a housing cisis, and he impac is dispopoionaely fel by low-wage wokes, especially women. We need naional en conol now. I applaud he @LTBcoaliion and hei legislaive allies in Illinois fo hei wok o addess his cisis. hps://.co/NsfnqefxhZ"
1222232686015717381,2020-01-28 18:59:14,"In 2017, 10,000 people died waiing fo Social Secuiy Disabiliy Insuance.
Insead of addessing his cisis, Tump wans o make i hade fo people wih disabiliies o ge he help hey need o ge by.
We will defea him and undo his cuely. hps://.co/LnpiqsxgoI"
1222209336744738819,2020-01-28 17:26:28,"RT @janeosandes: Excellen weekend in Las Vegas; meeing wih @SEIU1107
membes, @BaleBonPog oganizes, Wesen Shoshone ibal leade¶"
1222197889063100418,2020-01-28 16:40:58,"This campaign is no jus abou me. I's abou us.
Togehe, we ae going o win Iowa, defea Tump and ansfom his naion. hps://.co/9eLqSl5V4Y"
1222171326875676672,2020-01-28 14:55:25,"I have a message fo he op 1% and he lage pofiable copoaions in his couny:
Enjoy he massive ax beaks and loopholes you have igh now.
Unde a Benie Sandes adminisaion, we'e going o end hem and inves in woking people."
1221968255184703489,2020-01-28 01:28:29,We should no be scaed of wha will happen if we y. We should be scaed of wha will happen if we don. ì@AOC hps://.co/NZLmwyoRSF
1221958117321269248,2020-01-28 00:48:12,RT @PamilaJayapal: Is ime o pass #MedicaeFoAll.
1221934077466509312,2020-01-27 23:12:41,"My fis execuive odes will be o evese evey single hing Pesiden Tump has done o demonize and ham immigans, including his acis and disgusing Muslim ban."
1221915627440480256,2020-01-27 21:59:22,"Paens mus be able o ge childcae wihou suggling o pay en o buy food.
Childen mus have he bes possible head sa in life.
We ae going o finally guaanee univesal, qualiy, affodable childcae in his couny."
1221885398357610499,2020-01-27 19:59:15,I'm poud o sand wih he bave janios of @SEIULocal1 and hei allies who ae isking aes oday in S. Louis o figh fo living wages and espec on he job. hps://.co/TRReSDLX
1221880672245166081,2020-01-27 19:40:28,"Thee is nohing moe impoan han building a movemen o ejec hae, fea, and division.
This is how we hono he memoy of hose killed a Auschwiz-Bikenau, and ensue ha such a cime agains humaniy neve happens again. #HolocausRemembanceDay"
1221880670915526659,2020-01-27 19:40:28,"On his day 75 yeas ago, Allied foces libeaed he Auschwiz-Bikenau deah camp, he scene of he mos hoific mass aociy and genocide in hisoy.
Today we mus emembe he lessons of hose dak days and acknowledge he dange of leing hae and ani-Semiism fese."
1221872540177567744,2020-01-27 19:08:09,"My fahe came o Ameica a 17 wihou a nickel, speaking no English. He gew up o be he poudes Ameican you eve saw. Tump's policy is disgaceful. I is no wha Ameica is abou. We will defea him and end his demonizaion of immigans and he poo. hps://.co/MibwOTzEL"
1221848880003850240,2020-01-27 17:34:08,The fuue of his plane is moe impoan han he pofis of he fossil fuel indusy.
1221825421399994368,2020-01-27 16:00:55,"Fo 100 yeas, pesidens have alked abou he need o guaanee healh cae fo all.
Now is he ime.
We mus make healh cae a igh hough Medicae fo All. hps://.co/kSMm2HsQ1"
1221822654048620544,2020-01-27 15:49:55,"Ou campaign is abou doing somehing diffeen. I's abou lifing up he voices, suggles and powe of woking people.
When we ae in he Whie House, we will double union membeship. We'll do i fo wokes like Alex, fighing fo unions like @SEIU.
hps://.co/4hMxiwKoe5"
1221809743792168960,2020-01-27 14:58:37,"Senios canno live in digniy when hey'e ying o suvive on $13,000 o $14,000 a yea in Social Secuiy benefis.
We have some bad news fo hose who wan o cu Social Secuiy.
We'e no going o cu Social Secuiy benefis.
We'e going o expand hem."
1221607376274354177,2020-01-27 01:34:29,"Demagogues like Tump y o divide us up. Ou movemen is abou coming ogehe o ceae a naion whee evey peson is able o live wih digniy. Live ally in Sioux Ciy wih @AOC, @MMFlin and @pougalheman: hps://.co/Pq3BGand5V"
1221556101805592578,2020-01-26 22:10:44,"A naions geaness is judged no by how many billionaies i has, bu how i eas he people mos in need. Thas he kind of naion we mus become. Today Im in Som Lake, Iowa wih @AOC and @MMFlin: hps://.co/HH7egasPS"
1221488580922445824,2020-01-26 17:42:26,"We ae so close o he Iowa caucuses and I need you help o ensue we ae successful. Join me, @AOC and @MMFlin live a ou own hall in Pey, Iowa: hps://.co/g581GBGPyD"
1221487059896098816,2020-01-26 17:36:23,Polls ae one hing. Geing ou he voe is somehing else. We need all he help we can ge o make sue ou movemen is successful. Sign up hee o knock doos in ealy saes: hps://.co/wjkBPkOGE1
1221471669568573442,2020-01-26 16:35:14,Hee's he uh: he billionaie class is fine wih copoae socialism when i means hey ge billions in ax beaks and bailous. hps://.co/GA55PenGqj
1221471505885945856,2020-01-26 16:34:35,"RT @ChicagoMaoon: EDITORIAL: ""@BenieSandes's vision of he pesidency as 'oganize-in-chief' ses him apa fom ohe candidaes. I a¶"
1221285580388151296,2020-01-26 04:15:47,"I suppo Benie Sandes because I believe he will lead fom a moal cene bone of a lifelong commimen o seving he needs of he poo, he Ameican woke, he single mohe, he family fame, he suden in deb, he couple suggling o keep hei home. ìTim Robbins hps://.co/T51CIRCsQZ"
1221278766648954881,2020-01-26 03:48:42,"If you wan o voe fo Benie in he Califonia Democaic pimay and egiseed No Pay Pefeence (NPP), you MUST eques a Democaic ballo. 
Click on his link o eques you Democaic ballo oday: hps://.co/OQS8xsHOoL hps://.co/QmfmecQCO"
1221258633729781760,2020-01-26 02:28:42,RT @AiRabinHav: Rally in Ames compleely full and so is a second gym we ae using as oveflow space. @BenieSandes wen o speak o hem¶
1221243209835089921,2020-01-26 01:27:25,"I canno win his elecion alone. Togehe, we will build he movemen o win and ceae a naion based on jusice and digniy fo all. Join me, @AOC, @MMFlin and @pougalheman live in Ames: hps://.co/7JGB9WJPeZ"
1221212487095242753,2020-01-25 23:25:20,"Evey day he media and poliical esablishmen ell you: hink small. Ou campaign undesands ha if we sand ogehe, hee is nohing we canno accomplish. Im in Mashallown, Iowa onigh wih @AOC and @MMFlin: hps://.co/JbvCRW7M7U"
1221199710901370880,2020-01-25 22:34:34,"This is he iches couny on Eah and eaches shouldn have o wok wo o hee jobs o pu food on he able. 
We mus pay all public school eaches a leas $60,000 a yea."
1221185462993330183,2020-01-25 21:37:57,RT @BNeidhad: UPDATE: @BenieSandes is joining @AOC &amp; @MMFlin a onigh's allly in Mashallown hps://.co/NQIBxlcVeJ
1221183647438512128,2020-01-25 21:30:44,"I's nine days unil he Iowa caucuses, and i looks like ou opponens ae pey nevous ha we'e going o win.
Good!
Le's keep up he pessue. Chip in o ou campaign hee: hps://.co/RQPcSpH6iH hps://.co/kuT6mGADZy"
1221177914328219649,2020-01-25 21:07:57,No one should have o wach a loved one die because hey don' have healh insuance. I don' undesand wha is so adical abou ha.
1221146737278160897,2020-01-25 19:04:04,"If eleced, I pomise o be he mos po-union pesiden in Ameican hisoy."
1221133625573412865,2020-01-25 18:11:58,"Ou immigaion sysem mus live up o ou ideals as a naion. Unlike Tump, we will welcome efugees and hose seeking asylum, including hose displaced by climae change."
1221114211302019073,2020-01-25 16:54:49,RT @cascamike: evey day on ou campaign somehing happens ha makes all of us incedibly gaeful o play a small pa in building he po¶
1221111132649349120,2020-01-25 16:42:35,"RT @ninaune: Millions ae suggling o povide a oof fo hei family. This is a naional cisis. @BenieSandes has a planæ
Build¶"
1221110964394897409,2020-01-25 16:41:55,Weve go a long way o go. Is going o be a ough figh and we can' ake anyhing fo ganed. Knock on doos. Make phone calls. Do eveyhing you can. hps://.co/Xl1lQHiLog
1221110721997606912,2020-01-25 16:40:57,RT @AbshiDSM: Iowa co-chai @swalke06 &amp; naional suogae @iPhilSomehing speaking wih suden leades a he Univesiy of Iowa Afo H¶
1221095281774731264,2020-01-25 15:39:36,"Nohing scaes copoae Ameica moe han a poweful ade union movemen.
I have sood wih unions my whole life and am so gaeful fo hei suppo. 
Togehe we will double union membeship in Ameica. hps://.co/eYFkkzGL24"
1221076517746290689,2020-01-25 14:25:02,"I don' hink massive copoaions like Amazon, Dela, Eli Lilly, FedEx, JeBlue and Neflix should coninue o ge away wih paying $0 in fedeal income axes.
We'e going o make hem pay hei fai shae.
And we'e going o inves in he woking people of his couny."
1220925982846177281,2020-01-25 04:26:52,"Happy Luna New Yea o all hose who ae celebaing. We wish you and you loved ones peace, joy and good healh."
1220922205640544258,2020-01-25 04:11:52,RT @swalke06: My bo ou hee eaing i up! î•î•î• #iacaucus hps://.co/BhSAfqEu
1220921353639006209,2020-01-25 04:08:28,RT @Deamdefendes: ≠ we love you @iPhilSomehing! hps://.co/f28UQeuxZx
1220919122311155712,2020-01-25 03:59:36,"RT @BenieSandes: Ou slogan No Me, Us has vey much become ealiy since Ive been in D.C. fo Tumps impeachmen ial. You all ae¶"
1220914081688887296,2020-01-25 03:39:35,RT @iPhilSomehing: bough senao @ninaune wih us. #wihheseHANDS! hps://.co/Gv2MCKbgyi
1220909413743104001,2020-01-25 03:21:02,RT @misyebik: @iPhilSomehing gives me life. And i's movemen makes and aiss and oganizes and uh-elles ha ae going win hi¶
1220908634164670464,2020-01-25 03:17:56,"RT @IonSache: Bohe @iPhilSomehing jus being eal. 
Pa of he move in he MOVEmen!
#Benie2020 hps://.co/cRN3B1SO2p"
1220908474953097217,2020-01-25 03:17:18,"RT @joshfoxfilm: This made smile ea o ea. 
Then cy my eyes ou. 
Wach his.
The poliical evoluion is on. 
Is abou love and h¶"
1220903594205024256,2020-01-25 02:57:54,I can' be in Iowa onigh. Bu @iPhilSomehing jus showed Iowa Ciy he powe of fighing fo someone you don' know. hps://.co/xQVvdnDWn
1220898493688111106,2020-01-25 02:37:38,RT @iPhilSomehing: Liveseam link o even hee: hps://.co/H8MNfTY87 hps://.co/3ahuyQ6Jp
1220898240465424384,2020-01-25 02:36:38,"RT @BNeidhad: A pic of @BenieSandes a ou Iowa Ciy ally
(via @AiRabinHav's phone) hps://.co/H06bbesKhh"
1220894674015211520,2020-01-25 02:22:28,RT @fshaki: Benie calling in live hps://.co/wFuDjVl6Jc
1220892624686444544,2020-01-25 02:14:19,"Ou slogan No Me, Us has vey much become ealiy since Ive been in D.C. fo Tumps impeachmen ial. You all ae caying he ball. Join ou live own hall now fom Iowa Ciy wih @AOC, @MMFlin and @MikePosne: hps://.co/6hLhAJTl71"
1220860745887506433,2020-01-25 00:07:38,"The climae cisis is an exisenial hea, puing a isk ou vey exisence. I have poposed he mos aggessive, compehensive plan o addess his cisis. Why? Because we have no ohe choice. hps://.co/pyBGbiLLe"
1220845233459601410,2020-01-24 23:06:00,Have you eve avoided aking an ambulance because you could no affod i?
1220838266389266434,2020-01-24 22:38:19,"I may be suck in Washingon fo Tump's impeachmen ial, bu his is wha ""No Me, Us"" is all abou.
Thee ae hundeds of evens you can join acoss he couny o suppo ou campaign.
Help us keep he ball olling and sign up a hps://.co/0gzul5gF. hps://.co/LkZbyKRCK"
